User ID,Age,Quantity,EstimatedWages,Discount
15624510,19,24,190,0.97
15810944,35,41,200,0.81
15668575,26,38,430,0.74
15603246,27,13,570,0.54
158042,19,6,760,0.45
15728773,27,5,580,0.39
15598044,27,3,840,0.27
15694829,32,43,150,0.09
156575,25,23,330,0.01
15727311,35,48,650,0.09
15570769,26,7,800,0.20
15606274,26,2,520,0.54
15746139,20,4,860,0.41
15704987,32,24,180,0.29
15628972,18,2,820,0.86
15697686,29,13,800,0.31
15733883,47,6,250,0.94
15617482,45,28,260,0.74
15704583,46,7,280,0.55
15621083,48,28,290,0.14
15649487,45,32,220,0.56
15736760,47,48,490,0.60
15714658,48,48,410,0.70
15599081,45,46,220,0.13
15705113,46,1,230,0.98
15631159,47,4,200,0.03
15792818,49,8,280,0.34
15633531,47,2,300,0.92
15744529,29,43,430,0.29
15669656,31,40,180,0.30
15581198,31,14,150,0.93
15729054,27,2,330,0.02
15573452,21,41,650,0.76
15776733,28,38,800,0.03
15724858,27,32,520,0.10
15713144,35,37,860,0.28
15690188,33,1,180,0.67
15689425,30,7,820,0.30
15671766,26,22,800,0.20
15782806,27,32,310,0.37
15764419,27,7,150,0.62
15591915,33,39,330,0.28
15772798,35,5,650,0.97
157928,30,29,800,0.65
15715541,28,26,520,0.96
15639277,23,18,860,0.64
15798850,25,12,180,0.27
15776348,27,30,820,0.34
15727696,30,11,800,0.05
15793813,31,41,890,0.14
15694395,24,46,320,0.13
15764195,18,34,440,0.17
15744919,29,16,830,0.20
15671655,35,36,230,0.09
15654901,27,9,580,0.87
15649136,24,2,550,0.97
15775562,23,3,480,0.99
15807481,28,27,790,0.96
15642885,22,48,180,0.45
15789109,32,47,170,0.40
158144,27,27,200,0.12
15673619,25,23,870,0.86
15595135,23,44,660,0.99
15583681,32,29,120,0.78
156050,59,10,830,0.39
15718071,24,42,580,0.35
15679760,24,29,190,0.15
15654574,23,8,820,0.71
15577178,22,21,630,0.76
15595324,31,42,680,0.20
15756932,25,11,800,0.08
15726358,24,26,270,0.69
15595228,20,47,230,0.47
15782530,33,38,130,0.13
15592877,32,1,180,0.03
15651983,34,50,120,0.81
15746737,18,29,520,0.88
15774179,22,5,270,0.50
15667265,28,12,870,0.27
15655123,26,40,170,0.82
15595917,30,14,800,0.90
15668385,39,1,420,0.19
15709476,20,32,490,0.02
15711218,35,8,880,0.64
15798659,30,19,620,0.14
15663939,31,30,180,0.56
15694946,24,2,550,0.54
15631912,28,1,850,0.52
15768816,26,3,810,0.85
15682268,35,29,690,0.90
15684801,22,47,810,0.29
15636428,30,2,169,0.84
15809823,26,22,150,0.32
15699284,29,50,280,0.65
15786993,29,42,830,0.09
15709441,35,48,440,0.05
15710257,35,16,250,1.00
15582492,28,13,130,0.32
15575694,35,46,730,0.73
15756820,28,17,370,0.51
15766289,27,25,880,0.98
15593014,28,43,590,0.59
15584545,32,38,860,0.95
15675949,33,32,140,0.70
15672091,19,34,210,0.56
15801658,21,3,720,0.41
15706185,26,16,350,0.95
15789863,27,45,890,0.12
15720943,26,43,860,0.26
15697997,38,16,800,0.22
15665416,39,26,710,0.62
156602,37,16,710,0.43
15619653,38,43,610,1.00
15773447,37,29,550,0.27
15739160,42,49,800,0.16
15689237,40,38,570,0.17
15679297,35,4,750,0.49
15591433,36,27,520,0.58
15642725,40,30,590,0.89
15701962,41,36,590,0.47
15811613,36,33,750,0.87
15741049,37,12,720,0.57
