User ID,Age,Gender,Purchased,EstimatedSalary,Discount
15624510,19,1,0,19000,0.2
15810944,35,1,0,20000,0.3
15668575,26,0,0,43000,0.1
15603246,27,0,0,57000,0.4
15804002,19,1,0,76000,0.7
15728773,27,1,0,58000,0.9
15598044,27,0,0,84000,0.12
15694829,32,0,1,150000,0.2
15600575,25,1,0,33000,0.16
15727311,35,0,0,65000,0.18
15570769,26,0,0,80000,0.3
15606274,26,0,0,52000,0.5
15746139,20,1,0,86000,0.6
15704987,32,1,0,18000,0.8
15628972,18,1,0,82000,0.9
15697686,29,1,0,80000,0.12
15733883,47,1,1,25000,0.66
15617482,45,1,1,26000,0.88
15704583,46,1,1,28000,0.23
15621083,48,0,1,29000,0.44
15649487,45,1,1,22000,0.56
15736760,47,0,1,49000,0.11
15714658,48,1,1,41000,0.77
15599081,45,0,1,22000,0.32
15705113,46,1,1,23000,0.12
15631159,47,1,1,20000,0.34
15792818,49,1,1,28000,0.56
15633531,47,0,1,30000,0.67
15744529,29,1,0,43000,0.84
15669656,31,1,0,18000,0.23
15581198,31,1,0,74000,0.18
15729054,27,0,1,137000,0.3
15573452,21,0,0,16000,0.5
15776733,28,0,0,44000,0.6
15724858,27,1,0,90000,0.8
15713144,35,1,0,27000,0.9
15690188,33,0,0,28000,0.12
15689425,30,1,0,49000,0.66
15671766,26,0,0,72000,0.18
15782806,27,0,0,31000,0.3
15764419,27,0,0,17000,0.5
15591915,33,0,0,51000,0.6
15772798,35,1,0,108000,0.8
15792008,30,1,0,15000,0.9
15715541,28,0,0,84000,0.12
15639277,23,1,0,20000,0.66
15798850,25,1,0,79000,0.18
15776348,27,0,0,54000,0.3
15727696,30,1,1,135000,0.5
15793813,31,0,0,89000,0.6
15694395,24,0,0,32000,0.8
15764195,18,0,0,44000,0.9
15744919,29,0,0,83000,0.12
15671655,35,0,0,23000,0.66
15654901,27,0,0,58000,0.66
15649136,24,0,0,55000,0.12
15775562,23,0,0,48000,0.34
15807481,28,1,0,79000,0.56
15642885,22,1,0,18000,0.67
