Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
311,WordPress,http://311nyc.wordpress.com/,08-08-11 0:00,122
311,WordPress,http://311nyc.wordpress.com/,9/22/2011 0:00,100
311,WordPress,http://311nyc.wordpress.com/,10-04-11 0:00,26234
311,WordPress,http://311nyc.wordpress.com/,10/27/2011 0:00,26934
311,WordPress,http://311nyc.wordpress.com/,11/17/2011 0:00,27616
311,WordPress,http://311nyc.wordpress.com/,12-12-12 0:00,27847
311,WordPress,http://311nyc.wordpress.com/,12/30/2011 0:00,29176
311,WordPress,http://311nyc.wordpress.com/,1/20/2012 0:00,29922
311,WordPress,http://311nyc.wordpress.com/,2/17/2012 0:00,30807
311,WordPress,http://311nyc.wordpress.com/,3/14/2012 0:00,32529
311,WordPress,http://311nyc.wordpress.com/,04-09-12 0:00,33592
311,WordPress,http://311nyc.wordpress.com/,4/30/2012 0:00,36908
311,WordPress,http://311nyc.wordpress.com/,05-09-12 0:00,26234
311,WordPress,http://311nyc.wordpress.com/,6/13/2012 0:00,26934
311,WordPress,http://311nyc.wordpress.com/,07-05-12 0:00,27616
311,WordPress,http://311nyc.wordpress.com/,08-02-12 0:00,27847
311,WordPress,http://311nyc.wordpress.com/,9/21/2012 0:00,29176
311,WordPress,http://311nyc.wordpress.com/,10/24/2012 0:00,29922
311,WordPress,http://311nyc.wordpress.com/,11-02-12 0:00,30807
311,WordPress,http://311nyc.wordpress.com/,11-09-12 0:00,32529
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,08-08-11 0:00,33592
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,9/22/2011 0:00,36908
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10-04-11 0:00,38011
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10/27/2011 0:00,12121
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,11/17/2011 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,12-12-12 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,12/30/2011 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,1/20/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,2/17/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,3/14/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,04-09-12 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,4/30/2012 0:00,24806
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,05-09-12 0:00,24806
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,6/13/2012 0:00,25442
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,07-05-12 0:00,25736
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,08-02-12 0:00,25736
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,9/21/2012 0:00,26581
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10/24/2012 0:00,26581
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,11-02-12 0:00,26581
