User ID,Age,Quantity,EstimatedWages,Discount
15624510,19,48,190,0.27
15810944,35,2,200,0.88
15668575,26,40,430,0.22
15603246,27,8,570,0.07
158042,19,47,760,0.22
15728773,27,5,580,0.12
15598044,27,3,840,0.61
15694829,32,41,15,0.91
156575,25,2,330,0.33
15727311,35,20,650,0.67
15570769,26,46,800,0.84
15606274,26,2,520,0.51
15746139,20,10,860,0.49
15704987,32,1,180,0.37
15628972,18,2,820,0.16
15697686,29,45,800,0.99
15733883,47,30,250,0.69
15617482,45,46,260,0.69
15704583,46,42,280,0.73
15621083,48,13,290,0.99
15649487,45,50,220,0.84
15736760,47,11,490,0.40
15714658,48,41,410,0.17
15599081,45,34,220,0.65
15705113,46,9,230,0.26
15631159,47,30,200,0.41
15792818,49,14,280,0.64
15633531,47,38,300,0.71
15744529,29,31,430,0.18
15669656,31,1,180,0.35
15581198,31,41,740,0.70
15729054,27,32,1370,0.64
15573452,21,28,160,0.52
15776733,28,10,440,0.89
15724858,27,3,900,0.12
15713144,35,9,270,0.33
15690188,33,48,280,0.32
15689425,30,14,490,0.72
15671766,26,18,720,0.21
15782806,27,3,310,0.83
15764419,27,7,170,0.69
15591915,33,32,510,0.69
15772798,35,5,1080,0.60
157928,30,49,150,0.96
15715541,28,6,840,0.19
15639277,23,24,200,0.36
15798850,25,4,790,0.82
15776348,27,11,540,0.96
15727696,30,33,1350,0.17
15793813,31,15,890,0.03
15694395,24,7,320,0.11
15764195,18,21,440,0.24
15744919,29,24,830,0.10
15671655,35,19,230,0.17
15654901,27,9,580,0.27
15649136,24,48,550,0.88
15775562,23,7,480,0.66
15807481,28,27,790,0.34
15642885,22,16,180,0.15
15789109,32,30,170,0.17
158144,27,18,200,0.46
15673619,25,10,870,0.51
15595135,23,1,660,0.60
15583681,32,20,120,0.55
156050,59,31,830,0.53
15718071,24,35,580,0.35
15679760,24,21,190,0.12
15654574,23,24,820,0.31
15577178,22,25,630,0.97
15595324,31,40,680,0.97
15756932,25,43,800,0.28
15726358,24,43,270,0.32
15595228,20,44,230,0.36
15782530,33,45,130,0.53
15592877,32,2,180,0.73
15651983,34,1,120,0.91
15746737,18,41,520,0.53
15774179,22,1,270,0.63
15667265,28,1,870,0.01
15655123,26,36,170,0.50
15595917,30,42,800,0.66
15668385,39,10,420,0.22
15709476,20,30,490,0.37
15711218,35,18,880,0.53
15798659,30,8,620,0.49
15663939,31,3,180,0.35
15694946,24,21,550,0.80
15631912,28,23,850,0.60
15768816,26,37,810,0.88
15682268,35,47,690,0.18
15684801,22,15,810,0.01
15636428,30,17,169,0.29
15809823,26,37,150,0.99
15699284,29,8,280,0.05
15786993,29,1,830,0.65
15709441,35,39,440,0.93
15710257,35,22,250,0.29
15582492,28,36,130,0.64
15575694,35,49,730,0.50
15756820,28,24,370,0.07
15766289,27,36,880,0.33
15593014,28,38,590,0.48
15584545,32,4,860,0.11
15675949,33,47,140,0.74
15672091,19,13,210,0.35
15801658,21,3,720,0.26
15706185,26,26,350,0.07
15789863,27,18,890,0.10
15720943,26,43,860,0.64
15697997,38,33,800,0.39
15665416,39,7,710,0.50
156602,37,1,710,0.54
15619653,38,37,610,0.40
15773447,37,31,550,0.90
15739160,42,8,800,0.39
15689237,40,5,570,0.79
15679297,35,6,750,0.53
15591433,36,13,520,0.10
15642725,40,29,590,0.02
15701962,41,6,590,0.86
15811613,36,37,750,0.57
15741049,37,5,720,0.53
15724423,40,7,750,0.74
15574305,35,45,530,0.55
15678168,41,29,510,0.04
15697020,39,42,610,0.24
15610801,42,24,650,0.97
15745232,26,10,320,0.31
15722758,30,33,170,0.39
15792102,26,11,840,0.83
15675185,31,41,580,0.44
15801247,33,9,310,0.07
15725660,30,34,870,0.87
15638963,21,45,680,0.13
158061,28,10,550,0.61
155786,23,27,630,0.25
15668504,20,42,820,0.95
15687491,30,49,180,0.85
15610403,28,3,590,0.93
15741094,19,35,250,0.22
15807909,19,30,850,0.20
15666141,18,16,680,0.70
15617134,35,23,590,0.47
15783029,30,41,890,0.53
15622833,34,43,250,0.37
15746422,24,13,890,0.42
15750839,27,44,960,0.91
15749130,41,5,300,0.60
15779862,29,34,610,0.51
15767871,20,14,740,0.75
15679651,26,46,150,0.59
15576219,41,30,450,0.48
15699247,31,30,760,0.56
15619087,36,11,500,0.44
15605327,40,19,470,1.00
15610140,31,39,150,0.13
15791174,46,21,590,0.21
15602373,29,17,750,0.99
15762605,26,3,300,0.48
15598840,32,11,130,0.07
15744279,32,19,100,0.81
15670619,25,32,900,0.57
15599533,37,39,330,0.53
15757837,35,2,380,0.64
15697574,33,26,690,0.43
15578738,18,49,860,0.53
15762228,22,40,550,0.04
15614827,35,0,710,0.38
15789815,29,47,140,0.32
15579781,29,49,470,0.35
15587013,21,34,880,0.37
15570932,34,34,110,0.79
15794661,26,40,110,0.90
15581654,34,20,430,0.66
15644296,34,41,720,0.56
15614420,23,37,280,0.49
15609653,35,45,470,0.39
15594577,25,29,220,0.75
15584114,24,21,230,0.09
15673367,31,9,340,0.36
15685576,26,35,160,0.16
15774727,31,36,710,0.92
15694288,32,26,110,0.84
15603319,33,49,430,0.62
15759066,33,29,720,0.51
15814816,31,25,280,0.17
15724402,20,21,470,0.14
15571059,33,40,220,0.62
15674206,35,34,230,0.12
15715160,28,12,340,0.57
15730448,24,17,840,0.85
15662067,19,38,260,0.87
15779581,29,11,430,0.22
15662901,19,5,890,0.79
15689751,28,20,250,0.11
15667742,34,47,890,0.26
15738448,30,13,960,0.92
15680243,20,6,300,0.80
15745083,26,15,610,0.51
15708228,35,2,740,0.80
15628523,35,33,150,0.85
15708196,49,27,730,0.41
15735549,39,48,930,0.99
15809347,41,24,620,0.87
15660866,58,22,730,0.86
15766609,47,44,730,0.31
15654230,55,6,930,0.85
15794566,52,36,620,0.25
158890,40,44,730,0.79
15697424,46,20,790,0.20
15724536,48,27,960,0.61
15735878,52,12,110,0.27
15707596,59,27,110,0.97
15657163,35,21,430,0.82
15622478,47,18,720,0.72
15779529,60,35,280,0.44
15636023,49,14,470,0.54
15582066,40,23,220,0.46
15666675,46,23,230,0.09
15732987,59,35,340,0.16
15789432,41,45,160,0.33
15663161,35,26,710,0.46
